SITE_NUMBER,EVENT_DATE,FISHED_AREA_m2,SURVEY_METHOD,SURVEY_STRATEGY,NO_OF_RUNS
1,16/05/2017,2750,SEINE NETTING,SINGLE CATCH SAMPLE,1
2,17/05/2017,2080,SEINE NETTING,CATCH DEPLETION SAMPLE,2
3,11/07/2017,1400,SEINE NETTING,CATCH DEPLETION SAMPLE,2
5,06/06/2017,1800,WRAP AROUND SEINE NETTING,CATCH DEPLETION SAMPLE,2
7,28/06/2017,1950,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2
8,07/06/2017,1210,DC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2
9,19/06/2017,1750,SEINE NETTING,CATCH DEPLETION SAMPLE,2
10,18/05/2017,2000,SEINE NETTING,CATCH DEPLETION SAMPLE,2
13,05/04/2017,1200,WRAP AROUND SEINE NETTING,CATCH DEPLETION SAMPLE,2
14,19/07/2017,1980,SEINE NETTING,CATCH DEPLETION SAMPLE,2
15,11/04/2017,2025,WRAP AROUND SEINE NETTING,CATCH DEPLETION SAMPLE,2
17,12/04/2017,2025,WRAP AROUND SEINE NETTING,CATCH DEPLETION SAMPLE,2
18,24/04/2017,2040,WRAP AROUND SEINE NETTING,CATCH DEPLETION SAMPLE,2
21,05/07/2017,1680,SEINE NETTING,CATCH DEPLETION SAMPLE,2
22,25/04/2017,2250,WRAP AROUND SEINE NETTING,CATCH DEPLETION SAMPLE,2
23,10/07/2017,2100,SEINE NETTING,CATCH DEPLETION SAMPLE,2
24,15/06/2017,1900,SEINE NETTING,CATCH DEPLETION SAMPLE,2
