Species,eDNA ,Catch
Abramis.brama,17,14
Alburnus.alburnus,4,7
Anguilla.anguilla,14,3
Barbatula.barbatula,2,0
Blicca.bjoerkna,9,8
Carassius.auratus,1,0
Cobitis.taenia,11,3
Cottus.gobio,4,0
Cyprinus.carpio,1,0
Esox.lucius,14,14
Gasterosteus.aculeatus,7,0
Gobio.gobio,0,2
Gymnocephalus.cernua,14,11
Lampetra,2,0
Leuciscus.idus,1,0
Leuciscus.leuciscus,2,1
Oncorhynchus.mykiss,1,0
Osmerus.eperlanus,1,0
Perca.fluviatilis,17,17
Platichthys.flesus,1,1
Pungitius.pungitius,11,1
Rhodeus.amarus,1,2
Rutilus.rutilus,17,17
Scardinius.erythrophthalmus,16,14
Squalius.cephalus,3,0
Tinca.tinca,17,12
