Site,Abramis_brama,Alburnus_alburnus,Anguilla_anguilla,Barbatula_barbatula,Blicca_bjoerkna,Carassius_auratus,Cobitis_taenia,Cottus_gobio,Cyprinus_carpio,Esox_lucius,Gasterosteus_aculeatus,Gymnocephalus_cernua,Lampetra,Leuciscus_idus,Leuciscus_leuciscus,Oncorhynchus_mykiss,Osmerus_eperlanus,Perca_fluviatilis,Platichthys_flesus,Pungitius_pungitius,Rhodeus_amarus,Rutilus_rutilus,Scardinius_erythrophthalmus,Squalius_cephalus,Tinca_tinca
1,770.8,0,20.2,0,0,0,0,0,0,0,0,252,0,0,0,0,0,790.6,0,0,0,904.8,0,0,540.8
2,6028.4,0,0,0,0,0,0,0,0,557,0,861.2,0,0,0,0,0,7189.4,0,0,0,4497.4,3402.4,0,391.6
3,164.75,0,0,0,1,0,0.75,0,0,0,0,87.25,0,0,0,0,0,453.25,0,0,0,1484.75,380.5,0,201.75
5,1220.2,0,95,0,435.4,0,795,0,0,4020.2,0,1403,0,0,0,0,0,11738.4,0,441,0,17957,829.6,0,552
7,26767.6,0,100.8,0,291.8,0,475.2,97.4,0,5641.6,165.2,3286.6,0,0,0,0,0,37633.4,0,309.2,0,57195.6,9566.6,42.2,2041.4
8,4889.2,1253.2,385.4,0,2340,0,496,443.2,0,4877.8,0,680.6,0,0,257.8,0,0,21357,0,76.8,0,44963.4,828.2,4676.8,148.2
9,10230.4,0,180.4,0,1085.2,0,0,0,0,2098.2,23,1301,0,0,0,0,0,11992.2,0,0,0,38056,5535,0,4313
10,1412.6,0,99.4,0,89.6,0,41,55.6,201.4,1071.4,204.6,277.4,10.8,0,0,97.2,202.6,4106.6,0,1981.4,0,7102.4,611.4,120.6,199
13,747.8,0,44.8,52.2,0,0,101.6,0,0,5912.8,0,29,0,0,0,0,0,5508.2,0,1821,0,13354,814.2,0,2521.6
14,20351.8,58.8,78.2,0,0,0,0,0,0,3820.2,0,1459,17.6,0,0,0,0,7679.4,0,0,0,1407.8,101.2,0,1068.4
15,1909.4,0,5639.8,0,0,0,60,0,0,6033.8,0,370.2,0,0,0,0,0,6308.4,0,554.6,0,4017.2,1893.4,0,4363
17,1779.2,0,0,0,0,0,1031.4,0,0,17228,0,0,0,0,0,0,0,34948,0,677.2,0,41244.8,8503.4,0,2188
18,96.6,0,235,0,0,0,3637.2,0,0,4364.2,0,0,0,0,0,0,0,20505,0,1614.2,0,3843.2,798.6,0,983.2
21,1747,0,0.75,0,8.75,0,0,0,0,0,20.25,555.75,0,0,0,0,0,2899.5,0,14.25,0,291.5,10.25,0,22
22,17411.2,814.8,319.6,46.4,2877,41.6,412.6,99.2,0,10299.8,337.8,0,0,320.8,438,0,0,12752.4,381.8,450,4744.4,58467,3151.8,0,2980.8
23,2780.6,0,1609.4,0,0,0,0,0,0,1571.2,451,1317.8,0,0,0,0,0,8340.8,0,0,0,3235,112,0,990.2
24,1320,167.2,21.4,0,574.2,0,58,0,0,2462.4,186.4,932.2,0,0,0,0,0,9771.6,0,142.2,0,47536.4,1665,0,765
